katakana,hepburn,kunrei
ァ,a,a
ア,a,a
ィ,i,i
イ,i,i
イェ,ye,ye
ゥ,u,u
ウ,u,u
ウィ,wi,wi
ウェ,we,we
ウォ,wo,wo
ヴ,vu,vu
ヴァ,va,va
ヴィ,vi,vi
ヴェ,ve,ve
ヴォ,vo,vo
ェ,e,e
エ,e,e
ォ,o,o
オ,o,o
カ,ka,ka
ガ,ga,ga
キ,ki,ki
キャ,kya,kya
キュ,kyu,kyu
キョ,kyo,kyo
ギ,gi,gi
ギャ,gya,gya
ギュ,gyu,gyu
ギョ,gyo,gyo
ク,ku,ku
クヮ,kwa,kwa
クィ,kwi,kwi
クェ,kwe,kwe
クォ,kwo,kwo
グ,gu,gu
グィ,gwi,gwi
グェ,gwe,gwe
グォ,gwo,gwo
ケ,ke,ke
ゲ,ge,ge
コ,ko,ko
ゴ,go,go
サ,sa,sa
ザ,za,za
シ,shi,si
シャ,sha,sya
シュ,shu,syu
ショ,sho,syo
シェ,she,sye
ジ,ji,zi
ジャ,ja,zya
ジュ,ju,zyu
ジョ,jo,zyo
ジェ,je,zye
ス,su,su
スィ,si,swi
ズ,zu,zu
ズィ,zi,zwi
セ,se,se
ゼ,ze,ze
ソ,so,so
ゾ,zo,zo
タ,ta,ta
ダ,da,da
チ,chi,ti
チャ,cha,tya
チュ,chu,tyu
チョ,cho,tyo
チェ,che,tye
ヂ,ji,di
ヂャ,ja,dya
ヂュ,ju,dyu
ヂョ,jo,dyo
ヂェ,je,dye
ツ,tsu,tu
ツァ,tsa,twa
ツィ,tsi,twi
ツェ,tse,twe
ツォ,tso,two
ヅ,zu,du
テ,te,te
ティ,ti,ti
デ,de,de
ディ,di,di
ト,to,to
トゥ,tu,tu
ド,do,do
ドゥ,du,du
ナ,na,na
ニ,ni,ni
ニャ,nya,nya
ニュ,nyu,nyu
ニョ,nyo,nyo
ニェ,nye,nyo
ヌ,nu,nu
ネ,ne,ne
ノ,no,no
ハ,ha,ha
バ,ba,ba
パ,pa,pa
ヒ,hi,hi
ヒャ,hya,hya
ヒュ,hyu,hyu
ヒョ,hyo,hyo
ヒェ,hye,hye
ビ,bi,bi
ビャ,bya,bya
ビュ,byu,byu
ビョ,byo,byo
ビェ,bye,bye
ピ,pi,pi
ピャ,pya,pya
ピュ,pyu,pyu
ピョ,pyo,pyo
ピェ,pye,pye
フ,fu,hu
ファ,fa,fa
フィ,fi,fi
フェ,fe,fe
フォ,fo,fo
フュ,fyu,hwyu
ブ,bu,bu
プ,pu,pu
ヘ,he,he
ベ,be,be
ペ,pe,pe
ホ,ho,ho
ボ,bo,bo
ポ,po,po
マ,ma,ma
ミ,mi,mi
ミャ,mya,mya
ミュ,myu,myu
ミョ,myo,myo
ム,mu,mu
メ,me,me
モ,mo,mo
ャ,ya,ya
ヤ,ya,ya
ュ,yu,yu
ユ,yu,yu
ョ,yo,yo
ヨ,yo,yo
ラ,ra,ra
リ,ri,ri
リャ,rya,rya
リュ,ryu,ryu
リョ,ryo,ryo
リェ,rye,rye
ル,ru,ru
レ,re,re
ロ,ro,ro
ヮ,wa,wa
ワ,wa,wa
ヲ,o,o
ン,n,n
ヵ,ka,ka
ヶ,ka,ke
